time_ps,n_hbonds
0.0,3
10.0,4
20.0,3
30.0,3
40.0,3
50.0,2
60.0,3
70.0,3
80.0,2
90.0,4
100.0,3
110.0,3
120.0,3
130.0,4
140.0,3
150.0,3
160.0,3
170.0,3
180.0,3
190.0,2
200.0,2
210.0,2
220.0,3
230.0,2
240.0,3
250.0,2
260.0,2
270.0,2
280.0,2
290.0,3
300.0,2
310.0,2
320.0,2
330.0,2
340.0,2
350.0,3
360.0,2
370.0,2
380.0,2
390.0,2
400.0,2
410.0,2
420.0,3
430.0,2
440.0,2
450.0,1
460.0,2
470.0,2
480.0,1
490.0,2
500.0,3
510.0,3
520.0,2
530.0,2
540.0,2
550.0,2
560.0,1
570.0,2
580.0,3
590.0,2
600.0,2
610.0,2
620.0,2
630.0,3
640.0,2
650.0,2
660.0,2
670.0,2
680.0,2
690.0,2
700.0,3
710.0,2
720.0,1
730.0,2
740.0,3
750.0,2
760.0,2
770.0,2
780.0,2
790.0,2
800.0,2
810.0,1
820.0,2
830.0,3
840.0,3
850.0,3
860.0,3
870.0,3
880.0,3
890.0,3
900.0,3
910.0,3
920.0,3
930.0,3
940.0,3
950.0,3
960.0,3
970.0,3
980.0,3
990.0,3
1000.0,3
1010.0,3
1020.0,3
1030.0,3
1040.0,3
1050.0,3
1060.0,3
1070.0,3
1080.0,3
1090.0,4
1100.0,3
1110.0,3
1120.0,3
1130.0,3
1140.0,4
1150.0,2
1160.0,3
1170.0,3
1180.0,3
1190.0,3
1200.0,3
1210.0,3
1220.0,3
1230.0,3
1240.0,3
1250.0,3
1260.0,3
1270.0,3
1280.0,3
1290.0,2
1300.0,3
1310.0,3
1320.0,3
1330.0,3
1340.0,3
1350.0,3
1360.0,3
1370.0,3
1380.0,3
1390.0,3
1400.0,3
1410.0,3
1420.0,3
1430.0,2
1440.0,3
1450.0,3
1460.0,3
1470.0,3
1480.0,3
1490.0,3
1500.0,4
1510.0,3
1520.0,3
1530.0,3
1540.0,3
1550.0,3
1560.0,3
1570.0,3
1580.0,4
1590.0,3
1600.0,3
1610.0,3
1620.0,3
1630.0,3
1640.0,3
1650.0,3
1660.0,4
1670.0,3
1680.0,3
1690.0,3
1700.0,3
1710.0,3
1720.0,3
1730.0,3
1740.0,3
1750.0,2
1760.0,3
1770.0,3
1780.0,3
1790.0,3
1800.0,3
1810.0,4
1820.0,3
1830.0,3
1840.0,3
1850.0,3
1860.0,3
1870.0,3
1880.0,3
