time_ps,n_hbonds
0.0,4
10.0,2
20.0,3
30.0,2
40.0,3
50.0,2
60.0,2
70.0,2
80.0,3
90.0,3
100.0,4
110.0,3
120.0,2
130.0,2
140.0,3
150.0,3
160.0,2
170.0,2
180.0,4
190.0,3
200.0,3
210.0,3
220.0,2
230.0,3
240.0,2
250.0,2
260.0,2
270.0,2
280.0,2
290.0,2
300.0,2
310.0,2
320.0,2
330.0,3
340.0,2
350.0,3
360.0,3
370.0,3
380.0,3
390.0,3
400.0,3
410.0,3
420.0,3
430.0,3
440.0,3
450.0,2
460.0,3
470.0,3
480.0,4
490.0,3
500.0,4
510.0,4
520.0,3
530.0,3
540.0,2
550.0,3
560.0,3
570.0,3
580.0,2
590.0,3
600.0,3
610.0,2
620.0,3
630.0,3
640.0,3
650.0,2
660.0,3
670.0,3
680.0,2
690.0,3
700.0,3
710.0,2
720.0,3
730.0,2
740.0,3
750.0,2
760.0,3
770.0,3
780.0,3
790.0,3
800.0,3
810.0,3
820.0,4
830.0,2
840.0,3
850.0,2
860.0,3
870.0,3
880.0,3
890.0,3
900.0,3
910.0,3
920.0,3
930.0,4
940.0,3
950.0,3
960.0,3
970.0,2
980.0,3
990.0,3
1000.0,3
1010.0,3
1020.0,2
1030.0,3
1040.0,3
1050.0,3
1060.0,2
1070.0,3
1080.0,3
1090.0,3
1100.0,3
1110.0,3
1120.0,3
1130.0,3
1140.0,3
1150.0,3
1160.0,3
1170.0,3
1180.0,3
1190.0,3
1200.0,3
1210.0,3
1220.0,4
1230.0,3
1240.0,3
1250.0,2
1260.0,3
1270.0,3
1280.0,2
1290.0,2
1300.0,3
1310.0,3
1320.0,2
1330.0,2
1340.0,3
1350.0,3
1360.0,3
1370.0,2
1380.0,3
1390.0,4
1400.0,3
1410.0,2
1420.0,2
1430.0,3
1440.0,2
1450.0,3
1460.0,2
1470.0,3
1480.0,4
1490.0,3
1500.0,3
1510.0,3
1520.0,3
1530.0,3
1540.0,3
1550.0,3
1560.0,3
1570.0,3
1580.0,2
1590.0,3
1600.0,3
1610.0,2
1620.0,3
1630.0,3
1640.0,3
1650.0,3
1660.0,3
1670.0,3
1680.0,3
1690.0,3
1700.0,4
1710.0,3
1720.0,3
1730.0,3
1740.0,3
1750.0,3
1760.0,3
1770.0,3
1780.0,2
1790.0,2
1800.0,4
1810.0,3
1820.0,3
1830.0,3
1840.0,3
1850.0,3
1860.0,3
1870.0,3
1880.0,3
1890.0,2
1900.0,3
1910.0,3
1920.0,3
1930.0,2
1940.0,3
1950.0,3
1960.0,3
1970.0,2
1980.0,3
1990.0,3
2000.0,3
2010.0,2
2020.0,2
2030.0,3
2040.0,3
2050.0,2
2060.0,1
2070.0,3
2080.0,3
2090.0,2
2100.0,3
2110.0,3
2120.0,2
2130.0,2
2140.0,2
2150.0,2
2160.0,3
2170.0,3
2180.0,3
2190.0,3
2200.0,3
2210.0,2
2220.0,3
2230.0,3
2240.0,2
2250.0,4
2260.0,2
2270.0,2
2280.0,3
2290.0,3
2300.0,3
2310.0,3
2320.0,2
2330.0,3
2340.0,3
2350.0,3
2360.0,3
2370.0,3
2380.0,3
2390.0,2
2400.0,2
2410.0,3
2420.0,3
2430.0,3
2440.0,4
2450.0,3
2460.0,3
2470.0,3
2480.0,4
2490.0,2
2500.0,2
2510.0,3
2520.0,3
2530.0,2
2540.0,2
2550.0,2
2560.0,2
2570.0,3
2580.0,3
2590.0,3
2600.0,3
2610.0,3
2620.0,2
2630.0,2
2640.0,2
2650.0,2
2660.0,2
2670.0,2
2680.0,3
2690.0,2
2700.0,3
2710.0,3
2720.0,2
2730.0,2
2740.0,3
2750.0,3
2760.0,3
2770.0,3
2780.0,2
2790.0,3
2800.0,3
2810.0,2
2820.0,2
2830.0,3
2840.0,1
2850.0,2
2860.0,2
2870.0,2
2880.0,2
2890.0,3
2900.0,3
2910.0,2
2920.0,2
2930.0,3
2940.0,3
2950.0,3
2960.0,3
2970.0,2
2980.0,3
2990.0,3
3000.0,3
3010.0,3
3020.0,3
3030.0,3
3040.0,3
3050.0,3
3060.0,3
3070.0,2
3080.0,2
3090.0,3
3100.0,2
3110.0,3
3120.0,4
3130.0,3
3140.0,3
3150.0,3
3160.0,3
3170.0,2
3180.0,3
3190.0,2
3200.0,2
3210.0,3
3220.0,3
3230.0,3
3240.0,4
3250.0,3
3260.0,3
3270.0,2
3280.0,3
3290.0,2
3300.0,2
3310.0,3
3320.0,3
3330.0,2
3340.0,3
3350.0,4
3360.0,3
3370.0,1
3380.0,3
3390.0,2
3400.0,4
3410.0,3
3420.0,3
3430.0,2
3440.0,3
3450.0,3
3460.0,4
3470.0,3
3480.0,3
3490.0,2
3500.0,3
3510.0,3
3520.0,2
3530.0,2
3540.0,3
3550.0,2
3560.0,3
3570.0,2
3580.0,3
3590.0,3
3600.0,3
3610.0,3
3620.0,1
3630.0,4
3640.0,2
3650.0,2
3660.0,3
3670.0,3
3680.0,2
3690.0,3
3700.0,3
3710.0,3
3720.0,2
3730.0,3
3740.0,3
3750.0,2
3760.0,3
3770.0,3
3780.0,2
3790.0,3
3800.0,3
3810.0,3
3820.0,3
3830.0,3
3840.0,3
3850.0,2
3860.0,3
3870.0,2
3880.0,2
3890.0,3
3900.0,2
3910.0,3
3920.0,3
3930.0,3
3940.0,3
3950.0,2
3960.0,3
3970.0,3
3980.0,2
3990.0,3
4000.0,2
4010.0,2
4020.0,3
4030.0,3
4040.0,3
4050.0,3
4060.0,3
4070.0,3
4080.0,2
4090.0,2
4100.0,3
4110.0,3
4120.0,3
4130.0,3
4140.0,3
4150.0,3
4160.0,3
4170.0,3
4180.0,3
4190.0,3
4200.0,3
4210.0,4
4220.0,3
4230.0,3
4240.0,3
4250.0,3
4260.0,3
4270.0,3
4280.0,3
4290.0,3
4300.0,3
4310.0,3
4320.0,3
4330.0,3
4340.0,3
4350.0,3
4360.0,3
4370.0,3
4380.0,2
4390.0,3
4400.0,3
4410.0,3
4420.0,3
4430.0,3
4440.0,2
4450.0,3
4460.0,2
4470.0,3
4480.0,3
4490.0,3
4500.0,2
4510.0,2
4520.0,3
4530.0,3
4540.0,2
4550.0,3
4560.0,3
4570.0,3
4580.0,3
4590.0,3
4600.0,3
4610.0,2
4620.0,3
4630.0,3
4640.0,3
4650.0,3
4660.0,3
4670.0,3
4680.0,2
4690.0,3
4700.0,3
4710.0,3
4720.0,3
4730.0,3
4740.0,3
4750.0,3
4760.0,3
4770.0,3
4780.0,3
4790.0,3
4800.0,3
4810.0,3
4820.0,3
4830.0,2
4840.0,3
4850.0,3
4860.0,3
4870.0,3
4880.0,3
4890.0,3
4900.0,2
4910.0,2
4920.0,3
4930.0,3
4940.0,3
4950.0,2
4960.0,3
4970.0,3
4980.0,3
4990.0,3
5000.0,3
5010.0,4
5020.0,3
5030.0,3
5040.0,2
5050.0,2
5060.0,3
5070.0,3
5080.0,3
5090.0,2
5100.0,2
5110.0,2
5120.0,2
5130.0,3
5140.0,2
5150.0,3
5160.0,3
5170.0,2
5180.0,2
5190.0,2
5200.0,2
5210.0,3
5220.0,3
5230.0,2
5240.0,3
5250.0,3
5260.0,3
5270.0,3
5280.0,2
5290.0,3
5300.0,3
5310.0,3
5320.0,3
5330.0,2
5340.0,3
5350.0,3
5360.0,3
5370.0,3
5380.0,3
5390.0,3
5400.0,3
5410.0,3
5420.0,3
5430.0,2
5440.0,2
5450.0,3
5460.0,3
5470.0,2
5480.0,3
5490.0,2
5500.0,3
5510.0,3
5520.0,3
5530.0,3
5540.0,3
5550.0,3
5560.0,3
5570.0,2
5580.0,3
5590.0,3
5600.0,3
5610.0,2
5620.0,3
5630.0,3
5640.0,3
5650.0,3
5660.0,3
5670.0,3
5680.0,3
5690.0,3
5700.0,3
5710.0,3
5720.0,3
5730.0,3
5740.0,2
5750.0,2
5760.0,3
5770.0,2
5780.0,2
5790.0,2
5800.0,3
5810.0,3
5820.0,3
5830.0,3
5840.0,3
5850.0,3
5860.0,3
5870.0,3
5880.0,3
5890.0,3
5900.0,2
5910.0,3
5920.0,3
5930.0,3
5940.0,3
5950.0,3
5960.0,3
5970.0,2
5980.0,3
5990.0,3
6000.0,3
6010.0,1
6020.0,3
6030.0,3
6040.0,3
6050.0,3
6060.0,3
6070.0,2
6080.0,3
6090.0,3
6100.0,3
6110.0,3
6120.0,3
6130.0,3
6140.0,3
6150.0,3
6160.0,3
6170.0,3
6180.0,3
6190.0,3
6200.0,3
6210.0,3
6220.0,3
6230.0,3
6240.0,3
6250.0,3
6260.0,3
6270.0,3
6280.0,3
6290.0,3
6300.0,2
6310.0,3
6320.0,3
6330.0,3
6340.0,3
6350.0,3
6360.0,4
6370.0,3
6380.0,3
6390.0,3
6400.0,2
6410.0,3
6420.0,3
6430.0,3
6440.0,2
6450.0,3
6460.0,3
6470.0,4
6480.0,3
6490.0,3
6500.0,3
6510.0,3
6520.0,2
6530.0,3
6540.0,3
6550.0,2
6560.0,3
6570.0,3
6580.0,3
6590.0,3
6600.0,3
6610.0,3
6620.0,3
6630.0,3
6640.0,3
6650.0,3
6660.0,3
6670.0,3
6680.0,3
6690.0,3
6700.0,3
6710.0,3
6720.0,3
6730.0,3
6740.0,3
6750.0,3
6760.0,3
6770.0,3
6780.0,3
6790.0,2
6800.0,3
